OverallQual,GrLivArea,TotalBsmtSF,GarageArea,1stFlrSF,FullBath,TotRmsAbvGrd,YearRemodAdd,SalePrice,YearBuilt,CentralAir,Neighborhood,RoofMatl,HouseStyle,KitchenQual,SaleCondition,SaleType
5,1060,1060,270,1060,1,6,2001,154000,69,1,19,1,2,2,4,8
8,1600,1566,890,1600,2,7,2007,256300,108,1,16,1,2,2,4,8
5,900,900,576,900,1,5,2000,134800,52,1,12,1,2,2,4,8
8,1704,1704,772,1704,2,7,2008,306000,108,1,16,1,2,2,4,8
5,1600,1484,319,1600,1,6,1997,207500,58,1,12,1,2,3,4,8
4,520,520,240,520,1,4,1950,68500,31,0,3,1,2,1,4,8
4,1317,649,250,649,1,6,1950,40000,24,0,9,1,5,3,4,8
5,1228,1228,271,1228,1,6,2006,149350,67,1,19,1,2,2,4,8
8,1234,1234,484,1234,2,7,2007,179900,108,1,5,1,2,2,4,8
5,1700,1398,447,1700,1,6,1959,165500,60,1,12,1,2,2,4,8
9,1561,1561,556,1561,2,6,2005,277500,106,1,16,1,2,0,4,8
8,2452,1117,691,1132,3,9,2005,309000,105,1,16,1,5,2,4,8
5,1097,1097,672,1097,1,6,1995,145000,95,1,5,1,2,3,4,8
5,1297,1297,498,1297,1,5,1990,153000,55,1,12,1,2,3,4,8
5,1057,1057,246,1057,1,5,2007,109000,54,1,12,1,2,2,0,8
4,1152,0,0,1152,2,6,1955,82000,56,0,7,1,2,1,1,8
6,1324,1088,440,1324,2,6,1965,160000,66,1,12,1,2,3,0,8
5,1328,1350,308,1328,1,5,1959,170000,60,1,23,1,2,3,4,8
5,884,840,504,884,1,5,1983,144000,84,1,20,1,6,2,4,8
5,938,938,308,938,1,5,1980,130250,76,1,5,1,2,3,4,8
5,1150,1150,300,1150,1,6,1959,141000,60,1,12,1,2,3,4,8
9,1752,1752,576,1752,2,6,2005,319900,106,1,16,1,2,0,4,8
7,2149,1434,670,1518,1,6,2003,239686,104,1,11,1,0,2,0,8
8,1656,1656,826,1656,2,7,2006,249700,107,1,21,1,2,2,4,8
4,1452,736,0,736,2,8,2008,113000,24,1,17,1,5,3,5,6
5,955,955,386,955,1,6,1966,127000,67,1,19,1,2,3,4,8
6,1470,794,388,794,2,6,1997,177000,98,1,8,1,5,3,4,8
6,1176,816,528,816,1,6,1950,114500,37,1,3,1,0,3,4,8
5,816,816,516,816,1,5,1963,110000,64,0,9,1,2,3,4,8
9,1842,1842,894,1842,0,5,1987,385000,82,1,24,7,2,2,4,8
5,1360,384,572,1360,1,6,1955,130000,56,1,12,1,7,3,4,8
6,1425,1425,576,1425,2,7,1964,180500,65,1,12,1,2,3,4,8
8,1739,970,480,983,2,7,2000,172500,100,1,21,1,5,2,0,8
7,1720,860,565,860,2,7,2004,196500,105,1,5,1,5,2,4,8
10,2945,1410,641,1426,3,10,2006,438780,107,1,22,1,5,2,5,6
5,780,780,352,780,1,4,1972,124900,73,1,5,1,2,3,4,8
6,1158,1158,576,1158,1,5,2004,158000,105,1,20,1,2,2,5,6
5,1111,530,288,581,1,6,1996,101000,24,0,9,1,4,1,4,8
8,1370,1370,484,1370,2,6,2006,202500,107,1,16,1,2,2,4,8
7,1710,576,480,902,2,9,1950,140000,25,1,17,1,5,3,4,8
7,2034,1057,645,1057,2,8,1998,219500,98,1,5,1,5,2,4,8
8,2473,1143,852,1143,2,9,2005,317000,105,1,16,1,5,2,4,8
7,2207,1947,576,2207,2,7,1989,180000,71,1,12,1,2,3,4,8
7,1479,1453,558,1479,2,7,2003,226000,104,1,5,1,2,2,4,8
4,747,747,220,747,1,4,1950,80000,46,1,17,1,2,3,4,8
7,2287,1304,667,1304,2,7,1953,225000,54,1,4,1,0,3,4,8
7,2223,2223,516,2223,2,8,1973,244000,74,1,12,1,2,3,4,8
4,845,845,360,845,1,4,2006,129500,83,1,11,1,2,3,4,8
7,1718,832,427,885,2,7,1998,185000,99,1,8,1,5,3,4,8
5,1086,1086,490,1086,1,6,2003,144900,55,1,12,1,2,3,4,8
3,1605,840,379,840,2,8,1950,107400,19,0,17,1,5,3,4,8
4,988,462,297,526,1,5,1973,91000,74,1,10,1,7,3,4,8
4,952,952,283,952,1,4,1956,135750,57,1,12,1,2,3,4,8
5,1285,672,240,1072,1,6,2001,127000,49,1,3,1,0,3,4,8
4,1768,1768,0,1768,2,8,1968,136500,69,0,19,1,2,3,4,8
5,1230,440,440,682,1,5,1981,110000,14,1,17,1,5,3,4,8
6,2142,896,509,1182,2,8,1968,193500,69,1,12,1,5,2,4,8
6,1337,1237,405,1337,2,5,1998,153500,99,1,11,1,2,3,4,8
8,1563,1563,758,1563,2,6,2007,245000,108,1,21,1,2,2,4,8
5,1065,1065,461,1065,1,6,1960,126500,61,1,12,1,2,3,4,0
7,1474,384,400,804,2,7,1996,168500,96,1,8,1,7,3,4,8
8,2417,1288,462,1301,2,9,1992,260000,92,1,15,1,5,2,4,8
6,1560,684,400,684,2,6,2005,174000,106,1,8,1,5,2,4,8
6,1224,612,528,612,2,4,2009,164500,110,1,21,1,5,2,5,6
3,1526,1013,0,1013,1,6,1982,85000,19,0,9,1,0,1,0,3
4,990,990,0,990,1,5,1995,123600,95,1,5,1,2,3,4,8
4,1040,0,420,1040,1,4,1950,109900,51,1,12,1,2,3,4,8
5,1235,1235,480,1235,1,6,1961,98600,62,1,12,1,2,3,0,8
5,964,876,432,964,1,5,2006,163500,25,1,6,1,2,3,4,8
6,2291,1214,506,1260,2,9,1998,133900,14,0,17,1,4,3,4,8
6,1786,824,684,905,2,7,1997,204750,98,1,5,1,5,2,4,8
6,1470,680,420,680,2,6,1993,185000,94,1,8,1,5,3,4,8
7,1588,1588,472,1588,2,6,1999,214000,100,1,5,1,2,2,4,8
4,960,960,432,960,1,6,1965,94750,66,1,7,1,2,3,4,8
5,835,458,366,835,1,5,1950,83000,24,0,7,1,2,3,0,0
4,1225,950,0,1225,1,6,1959,128950,60,1,12,1,2,3,4,8
6,1610,1610,480,1610,2,6,2001,205000,78,1,14,1,2,2,4,8
6,1732,741,476,977,2,7,1985,178000,86,1,20,1,5,2,4,8
5,1535,0,410,1535,2,8,1979,118964,80,1,20,1,2,3,2,8
7,1226,1226,740,1226,2,6,2009,198900,110,1,5,1,2,2,4,8
7,1818,1040,240,1226,1,7,1950,169500,35,1,9,1,0,3,4,8
8,1992,1053,648,1053,2,9,2004,250000,104,1,21,1,5,2,4,8
4,1047,641,273,1047,1,6,1995,100000,4,1,17,1,2,3,4,8
5,789,789,250,789,1,5,1950,115000,49,1,17,1,2,3,5,8
5,1517,793,0,997,2,7,2005,115000,23,0,9,1,0,1,4,8
6,1844,1844,546,1844,2,7,1977,190000,78,1,14,1,2,3,4,0
6,1855,994,325,1216,2,7,1972,136900,55,1,7,1,0,3,4,8
7,1430,384,400,774,2,7,2000,180000,101,1,8,1,7,3,4,8
7,2696,1264,792,1282,2,10,2007,383970,108,1,5,1,5,0,5,6
6,2259,1809,450,2259,2,7,1953,217000,54,1,6,1,2,2,0,0
6,2320,1028,180,1436,2,9,2002,259500,46,1,6,1,5,2,4,8
6,1458,729,440,729,2,5,1999,176000,100,1,21,1,5,3,4,8
5,1092,1092,288,1092,1,6,1962,139000,63,1,19,1,2,3,4,8
5,1125,1125,430,1125,1,5,2007,155000,107,1,7,1,2,3,5,6
7,3222,1673,594,1699,3,11,1990,320000,91,1,20,1,5,2,4,8
6,1456,728,390,728,2,8,2006,163990,106,1,5,1,5,2,5,6
6,988,938,540,988,1,4,1969,180000,70,1,4,3,7,3,4,8
4,1123,732,264,772,1,4,1950,100000,42,1,9,1,0,3,4,8
6,1080,1080,288,1080,1,5,1958,136000,59,1,12,1,2,3,4,8
6,1199,1199,530,1199,2,5,1993,153900,94,1,20,1,2,2,4,8
6,1586,1362,435,1586,2,7,1998,181000,80,1,14,1,2,3,4,8
6,754,520,0,520,1,5,1982,84500,38,0,9,1,0,3,4,8
6,958,1078,440,958,2,5,1976,128000,77,1,13,1,2,3,4,8
5,840,672,0,840,1,5,1950,87000,34,1,17,1,1,3,4,8
6,1348,660,453,660,1,6,1966,155000,67,1,12,1,5,3,4,8
5,1053,1008,750,1053,1,6,1991,150000,59,1,12,1,2,0,0,8
7,2157,924,487,1216,2,8,1966,226000,67,1,12,1,5,2,4,8
6,2054,992,390,1022,2,7,2000,244000,101,1,8,1,5,2,4,8
5,1327,1063,624,1327,1,7,2002,150750,60,1,12,1,2,2,4,8
8,1296,1267,471,1296,2,6,2002,220000,102,1,23,1,2,2,4,8
5,1721,1461,440,1721,2,7,1993,180000,69,1,19,1,2,3,4,8
7,1682,1304,530,1682,2,7,1970,174000,71,1,14,1,2,3,4,8
5,1214,1214,318,1214,2,5,1967,143000,68,1,12,1,2,3,4,8
7,1959,1907,766,1959,3,9,1989,171000,89,1,11,1,2,3,3,8
8,1852,1004,660,1004,2,7,2000,230000,100,1,5,1,5,2,4,8
6,1764,928,470,928,2,7,1997,231500,98,1,5,1,5,2,4,8
4,864,864,0,864,1,5,1971,115000,72,1,12,1,2,3,4,4
7,1734,1734,660,1734,2,7,2005,260000,106,1,5,1,2,2,4,8
5,1385,910,720,910,2,6,1952,166000,53,1,12,1,0,3,4,8
7,1501,1490,577,1501,2,6,1999,204000,100,1,5,1,2,2,4,8
5,1728,1728,504,1728,2,10,1963,125000,64,1,19,1,2,3,0,4
6,1709,970,380,970,2,7,2006,130000,105,1,7,1,5,2,4,8
5,875,715,180,875,1,5,1993,105000,35,1,3,1,2,3,4,8
7,2035,884,434,884,2,8,2001,222500,102,1,8,1,5,2,4,8
7,1080,1080,0,1080,1,6,2005,141000,105,1,20,1,2,2,4,8
5,1344,896,240,896,1,7,1950,115000,39,1,3,1,0,3,4,8
5,969,969,440,969,1,5,1975,122000,76,1,5,1,2,3,4,8
8,1710,1710,866,1710,2,6,2008,372402,108,1,16,1,2,2,5,6
6,1993,825,495,1097,2,8,1971,190000,72,1,14,1,5,3,4,8
6,1252,1602,564,1252,1,4,1975,235000,61,1,4,1,2,3,4,8
6,1200,1200,312,1200,1,7,1950,125000,27,1,17,1,2,3,3,8
6,1096,572,0,572,1,5,1950,79000,28,0,7,1,0,3,4,8
5,1040,0,625,1040,1,5,1950,109500,51,1,12,1,2,3,4,8
8,1968,774,680,774,2,8,2010,269500,110,1,23,1,5,0,5,6
7,1947,991,678,991,2,8,2005,254900,105,1,21,1,5,2,4,8
7,2462,1392,576,1392,2,9,2006,320000,106,1,8,1,5,2,5,6
6,1232,1232,516,1232,2,6,1984,162500,85,1,24,1,2,3,4,8
9,2668,1572,726,1572,2,10,2004,412500,104,1,16,1,5,0,4,8
7,1541,1541,532,1541,2,7,2005,220000,106,1,16,1,2,2,5,6
4,882,882,0,882,1,4,1956,103200,57,1,17,1,1,3,4,8
6,1616,1149,216,1149,2,5,2004,152000,30,1,17,1,2,2,4,8
5,1355,644,0,808,2,6,1999,127500,43,1,7,1,0,3,4,8
5,1867,1617,303,1867,1,7,1993,190000,56,1,4,1,2,3,4,0
8,2161,1582,789,1610,1,8,2007,325624,108,1,16,1,5,0,5,6
7,1720,840,440,840,2,7,2004,183500,105,1,8,1,5,2,4,8
8,1707,1686,511,1707,2,6,1981,228000,82,1,23,6,2,3,4,8
5,1382,720,660,854,1,7,1950,128500,44,1,17,1,0,3,4,8
6,1656,1080,528,1656,1,7,1960,215000,61,1,12,1,2,3,4,8
7,1767,1064,504,1064,2,5,1987,239000,88,1,22,1,5,2,4,8
6,1362,1362,504,1362,1,6,1961,163000,62,1,12,1,2,3,4,0
6,1651,1606,616,1651,2,7,1986,184000,87,1,23,1,2,3,4,8
6,2158,1202,576,2158,2,7,2001,243000,51,1,7,1,2,2,4,8
6,2060,1151,521,1164,2,8,1989,211000,89,1,4,1,5,3,4,8
5,1920,1052,451,1252,2,8,1958,172500,59,1,19,1,0,2,4,8
9,2234,2216,1166,2234,2,9,2009,501837,109,1,22,1,2,0,5,6
5,968,968,480,968,1,5,2006,100000,27,1,17,1,2,3,4,8
6,1525,756,440,769,2,5,2000,177000,101,1,21,1,5,2,4,8
7,1802,793,216,901,1,9,1950,200100,24,1,6,1,5,3,4,8
5,1340,0,252,1340,1,7,2006,120000,58,1,7,1,2,3,4,8
7,2082,1362,484,1362,2,6,2003,200000,104,1,17,1,0,2,4,8
5,1252,504,576,936,1,5,1991,127000,13,1,3,1,0,3,4,8
10,3608,1107,840,1518,2,12,1993,475000,6,1,17,7,3,0,4,8
7,1217,1188,497,1217,2,6,1991,173000,91,1,11,1,7,2,4,8
5,1656,660,180,808,2,8,1987,135000,20,1,17,1,0,3,4,8
5,1224,1086,528,1224,0,6,1979,153337,80,1,20,1,6,3,2,8
8,1593,1593,682,1593,1,5,2002,286000,102,1,22,1,2,0,4,8
8,2727,853,440,1549,2,10,1994,315000,36,1,6,1,5,2,4,8
7,1479,725,484,725,1,7,2004,184000,73,1,12,1,5,2,4,8
7,1431,1431,666,1431,2,6,1999,192000,100,1,5,1,2,2,4,8
7,1709,970,380,970,2,7,2004,130000,105,1,7,1,5,2,4,8
5,864,864,352,864,1,5,1972,127000,73,1,5,1,2,3,4,8
6,1456,855,440,855,2,7,1976,148500,77,1,13,1,5,3,4,8
7,1726,1726,786,1726,2,8,2007,311872,108,1,21,1,2,0,5,6
8,3112,1360,795,1360,2,8,1990,235000,22,1,12,1,5,2,0,8
6,2229,755,0,929,1,8,1950,104000,16,1,17,1,3,3,0,8
8,1713,1713,856,1713,2,7,2005,274900,105,1,16,1,2,0,4,8
4,1121,1121,440,1121,2,5,2004,140000,104,1,7,1,2,3,4,8
6,1279,1196,473,1279,2,6,1977,171500,78,1,11,1,2,3,4,8
6,1310,617,398,865,2,6,1950,112000,28,1,17,1,0,3,4,0
6,848,848,420,848,1,3,2004,149000,105,1,5,1,2,2,4,8
5,1284,720,240,720,1,5,1950,110000,48,1,17,1,0,3,4,8
7,1442,1424,500,1442,2,5,1990,180500,91,1,8,1,2,3,4,8
5,1696,1140,349,1696,1,8,1962,143900,63,1,19,1,2,3,4,8
4,1100,1100,312,1100,1,6,1960,141000,61,1,12,1,2,3,4,8
7,2062,1157,454,1180,2,7,1989,277000,89,1,20,1,5,3,4,8
6,1092,1092,504,1092,1,6,1964,145000,65,1,12,1,2,3,4,8
5,864,864,0,864,1,5,1950,98000,29,0,7,1,2,3,4,8
6,1212,1212,460,1212,2,6,2009,186000,110,1,7,1,2,2,4,8
7,1852,900,644,932,2,7,2009,252678,110,1,21,1,5,2,5,6
5,990,990,576,990,1,5,1995,156000,96,1,5,1,2,3,4,8
6,1392,689,299,689,1,6,1977,161750,78,1,5,1,5,3,4,8
5,1236,1070,447,1236,1,6,1996,134450,58,1,12,1,2,2,4,8
7,1436,1436,484,1436,2,8,2004,210000,105,1,5,1,2,2,4,8
4,1328,686,210,810,1,8,1950,107000,29,0,17,1,5,3,3,8
7,1954,798,431,1137,1,8,2006,311500,42,1,6,1,0,2,4,8
7,1248,1248,438,1248,2,5,2006,167240,106,1,0,1,2,2,5,6
7,1498,1498,675,1498,2,5,2006,204900,107,1,5,1,2,2,5,6
6,2267,1010,390,1010,2,8,2002,200000,103,1,8,1,5,2,4,4
6,1552,713,434,811,2,6,1975,179900,76,1,14,1,5,3,4,8
4,864,864,576,864,1,4,1971,97000,72,1,12,1,2,3,0,8
10,2392,2392,968,2392,2,8,2003,386250,104,1,16,1,2,0,4,8
5,1302,630,280,630,2,6,1971,112000,72,1,2,1,5,3,0,0
7,2520,1203,721,1214,2,9,1995,290000,96,1,15,1,5,2,0,8
6,987,483,280,483,1,5,1970,106000,71,1,2,1,5,3,4,8
5,912,912,336,912,1,5,1967,125000,68,1,19,1,2,3,4,8
7,1555,1373,430,1555,2,7,2006,192500,106,1,0,1,2,2,4,8
6,1194,1194,312,1194,1,6,1959,148000,60,1,12,1,2,3,4,8
8,2794,1462,810,1490,2,9,1996,403000,96,1,15,1,5,0,4,8
6,987,483,288,483,1,5,1972,94500,73,1,2,1,5,3,4,8
5,894,894,308,894,1,5,1976,128200,77,1,5,1,2,3,4,8
6,1960,860,440,860,2,8,2002,216500,103,1,8,1,5,2,4,8
6,987,483,264,483,1,5,1971,89500,72,1,2,1,5,3,4,8
7,1414,1414,494,1414,2,6,2004,185500,105,1,5,1,2,2,4,8
7,1744,996,457,1014,2,7,2003,194500,94,1,20,1,5,2,4,8
8,1694,1694,818,1694,2,7,2007,318000,108,1,16,1,2,2,5,6
6,1487,735,220,798,1,7,1950,113000,46,1,7,1,0,3,4,8
8,1566,1566,750,1566,2,7,2008,262500,109,1,21,1,2,2,4,8
5,866,686,0,866,1,4,1997,110500,46,1,17,1,2,2,4,8
5,1440,540,352,889,1,6,1950,79000,9,0,17,1,0,3,4,8
6,1217,626,288,626,1,6,1980,120000,81,1,20,1,5,3,4,8
7,2110,948,463,1222,2,8,2002,205000,95,1,20,1,5,2,4,8
7,1872,1845,604,1872,2,6,1988,241500,89,1,14,1,2,3,4,8
6,1928,1020,440,908,2,9,1950,137000,14,0,17,1,5,1,4,8
6,1375,1367,451,1375,1,5,1954,140000,55,1,12,1,2,3,4,8
7,1668,840,500,840,2,8,2003,180000,104,1,5,1,5,2,4,8
6,2144,1444,389,1444,2,7,2006,277000,59,1,4,1,0,2,4,8
3,1306,728,0,1306,1,6,1966,76500,43,1,3,1,2,1,4,8
8,1625,1573,538,1625,2,5,2007,235000,107,1,6,1,2,2,3,8
6,1640,798,520,798,2,6,2004,173000,105,1,20,1,5,2,4,8
6,1302,1302,309,1302,2,7,1991,158000,65,1,12,1,7,2,4,1
5,1314,1314,294,1314,1,5,1957,145000,58,1,12,1,2,3,4,8
7,2291,975,429,1005,2,8,1999,230000,100,1,8,1,5,2,4,8
6,1728,864,673,864,2,7,2003,207500,104,1,21,1,5,2,4,8
7,1604,1604,660,1604,2,8,2006,220000,107,1,5,1,2,2,0,8
7,1792,963,564,963,2,7,2001,231500,102,1,5,1,5,2,4,8
5,882,0,308,882,1,4,1956,97000,57,1,17,1,2,3,4,8
6,1382,1362,884,1382,1,6,1962,176000,63,1,12,1,7,3,4,8
8,2574,1482,868,1482,2,10,2007,276000,108,1,5,1,5,0,5,6
6,1212,506,492,1212,1,6,1995,151000,78,1,19,1,7,3,4,8
5,1316,926,484,926,1,6,2001,130000,33,1,17,1,0,3,4,8
5,764,680,504,764,1,4,2004,73000,29,0,17,1,2,3,4,8
6,1422,1422,576,1422,2,7,1981,175500,82,1,14,1,2,2,4,8
6,1511,802,413,802,2,8,1997,185000,98,1,8,1,5,3,4,8
5,2192,720,240,1052,2,8,1997,179500,42,1,18,1,3,2,4,8
5,778,740,924,778,1,4,1955,120500,43,1,9,1,2,3,4,8
6,1113,1143,504,1113,1,6,1976,148000,77,1,7,1,2,3,4,8
8,1939,1095,1053,1095,2,8,2006,266000,107,1,21,1,5,2,5,6
7,1363,1385,439,1363,1,5,2005,241500,55,1,4,2,2,3,4,8
8,2270,1152,671,1164,2,9,2007,290000,100,1,15,1,5,2,4,8
6,1632,1240,338,1632,2,6,1988,139000,59,1,12,1,2,3,4,8
5,816,816,264,816,1,5,1982,124500,83,1,11,1,2,3,4,8
7,1548,952,672,952,2,5,2007,205000,29,0,3,1,0,0,4,8
7,1560,1560,573,1560,2,7,2003,201000,104,1,11,1,2,2,4,8
4,864,864,400,864,1,4,1951,141000,52,1,8,1,2,3,4,8
9,2121,2121,732,2121,2,8,2007,415298,107,1,16,1,2,0,5,6
7,2022,1160,505,1156,2,8,1977,192000,78,1,4,1,5,3,4,8
7,1982,807,575,1175,2,7,1989,228500,90,1,20,1,5,2,4,8
6,1262,1262,572,1262,2,5,2006,185000,107,1,21,1,2,2,5,6
7,1314,1314,626,1314,2,6,2008,207500,108,1,16,1,2,2,4,5
8,1468,1468,898,1468,2,6,2009,244600,109,1,21,1,2,2,5,6
6,1575,1575,529,1575,2,5,1992,179200,93,1,20,1,2,2,4,8
7,1250,625,528,625,2,5,2007,164700,107,1,21,1,5,2,5,6
6,1734,912,440,1085,1,7,1981,159000,63,1,12,1,0,2,4,8
4,858,858,0,858,1,5,1971,88000,72,1,12,1,2,3,4,8
5,900,882,280,900,1,5,1967,122000,68,1,19,1,2,3,4,8
6,1396,698,384,698,1,7,2003,153575,19,1,3,1,5,3,4,8
8,1919,1079,685,1079,2,8,2006,233230,107,1,5,1,5,2,5,6
5,1716,780,0,936,2,9,2000,135900,16,0,18,1,5,1,4,8
5,1716,768,281,1148,1,8,2008,131000,50,1,7,1,0,3,4,8
7,2263,795,539,1468,2,9,1994,235000,78,1,14,1,5,2,4,8
6,1644,1416,418,1644,1,7,1953,167000,54,1,12,1,2,3,4,8
6,1003,1003,588,1003,1,6,1984,142500,85,1,11,1,7,3,4,8
5,1558,910,282,910,1,6,1950,152000,51,1,9,1,0,3,4,8
7,1950,975,576,975,2,7,1998,239000,98,1,21,1,5,2,4,8
6,1743,702,539,1041,1,7,1968,175000,69,1,14,1,5,3,4,8
6,1152,1092,300,1152,1,6,2004,158500,51,1,6,1,2,2,3,8
5,1336,1165,375,1336,1,5,1953,157000,54,1,6,1,2,3,4,8
8,2452,1028,683,1210,2,9,1999,267000,99,1,5,1,5,2,4,8
7,1541,1541,843,1541,2,6,2002,205000,102,1,5,1,2,2,4,8
5,894,894,552,894,1,5,1972,149900,73,1,5,1,2,3,0,8
7,3493,1470,870,1675,3,10,2002,295000,2,1,17,1,3,2,4,8
8,2000,2000,888,2000,2,8,2005,305900,105,1,5,1,2,2,4,8
7,2243,700,746,1122,2,8,1991,225000,91,1,20,1,5,2,4,8
6,1406,319,0,1035,1,6,1950,89500,24,1,9,1,0,1,4,8
4,861,861,539,861,1,4,1950,82500,43,1,7,1,2,3,4,8
9,1944,1896,708,1944,2,8,2004,360000,104,1,16,1,2,0,4,8
6,1501,697,420,697,2,6,1994,165600,94,1,8,1,5,2,4,8
6,972,972,240,972,1,5,2002,132000,49,1,12,1,2,3,4,8
5,1118,793,410,793,1,5,1950,119900,42,1,17,1,0,3,4,8
7,2036,2136,513,2036,2,8,1965,375000,66,1,23,1,2,3,4,8
7,1641,728,546,832,1,6,1990,178000,29,1,17,1,5,0,4,8
7,1432,716,432,716,2,6,2005,188500,105,1,8,1,5,2,4,8
7,2353,845,484,1153,2,10,1980,260000,81,1,14,1,5,0,4,8
8,1959,1088,1025,1088,2,8,2006,270000,107,1,21,1,5,2,4,8
7,2646,1347,656,1372,2,9,1993,260000,94,1,15,1,5,2,4,8
7,1472,1372,588,1472,2,6,1980,187500,81,1,14,1,7,3,4,8
9,2596,1249,840,1249,3,9,2006,342643,107,1,16,1,5,2,5,6
8,2468,1136,872,1136,2,10,2004,354000,105,1,16,1,5,2,4,8
7,2730,1502,576,1553,2,8,1987,301000,87,1,20,1,5,2,4,8
3,1163,1162,220,1163,1,6,2005,126175,56,1,17,1,2,3,4,8
7,2978,710,564,1898,2,11,2007,242000,68,1,12,6,7,2,4,8
5,803,720,360,803,1,5,1950,87000,44,0,9,1,1,3,4,8
8,1719,1719,473,1719,1,6,1993,324000,94,1,24,1,2,2,4,2
6,1383,1383,292,1383,1,7,1960,145250,61,1,12,1,2,3,4,8
6,2134,844,441,1445,2,10,1994,214500,20,0,3,1,4,2,4,8
5,1192,596,189,596,1,6,1950,78000,24,0,9,1,5,3,4,8
5,1728,1728,352,1728,2,10,1964,119000,65,1,12,1,2,3,4,8
5,1056,1056,308,1056,1,6,1992,139000,59,1,12,1,2,3,4,8
8,1629,3206,880,1629,2,7,2004,284000,104,1,16,1,2,2,4,8
7,1358,1358,484,1358,2,6,2004,207000,105,1,16,1,2,2,4,8
6,1638,943,472,943,2,7,1998,192000,99,1,8,1,5,3,4,8
5,1786,1499,529,1619,2,7,1965,228950,66,1,23,1,0,3,4,8
9,1922,1922,676,1922,2,8,2006,377426,106,1,22,1,2,2,4,8
7,1536,1536,532,1536,2,7,2003,214000,103,1,5,1,2,2,4,8
7,1621,1208,440,1621,2,8,1998,202500,85,1,14,1,2,2,4,8
6,1215,1215,297,1215,1,6,1998,155000,59,1,12,1,2,3,4,8
8,1908,967,431,993,2,9,2002,202900,103,1,23,1,5,2,4,8
4,841,721,294,841,1,4,1950,82000,51,1,20,1,2,3,4,8
3,1040,0,400,1040,2,6,1950,87500,50,0,12,1,2,3,4,8
9,1684,1684,564,1684,2,6,2005,266000,106,1,16,1,2,0,4,8
5,1112,536,336,536,1,4,1976,85000,77,1,10,1,5,3,4,8
6,1577,972,312,972,1,6,1950,140200,42,1,3,1,0,1,4,8
6,958,958,301,958,1,5,1998,151500,61,1,12,1,2,3,4,8
6,1478,1478,498,1478,2,6,1960,157500,61,1,12,1,2,3,4,8
7,1626,764,474,764,2,6,2004,154000,104,1,16,1,5,2,4,8
9,2728,1848,706,1848,2,10,2006,437154,106,1,16,1,5,0,5,6
9,1869,1869,617,1869,2,6,2007,318061,108,1,16,1,2,0,5,6
7,1453,1453,445,1453,1,6,1986,190000,87,1,4,1,2,2,0,8
5,1111,616,200,616,1,5,1950,95000,44,0,7,1,0,3,4,5
6,720,624,484,720,1,5,2003,105900,32,1,17,1,2,3,4,8
6,1595,940,240,1192,1,6,2000,140000,43,1,18,1,0,3,4,8
6,1200,1200,521,1200,2,6,1995,177500,96,1,5,1,2,2,4,8
6,1167,1158,400,1167,2,6,1992,173000,93,1,8,1,2,2,4,8
5,1142,1142,528,1142,1,6,1976,134000,77,1,10,1,2,3,4,8
5,1352,1062,288,1352,1,6,1958,130000,59,1,4,1,7,2,0,8
8,1924,1086,592,1086,2,7,1998,280000,99,1,15,1,5,2,4,8
6,912,888,470,912,1,5,1978,156000,79,1,11,1,6,3,4,8
